gene_names1	match_protein_names1	gene_names2	match_protein_names2	coexpression
CD68	CD68	CD74	CD74	0.109
CD74	CD74	PECAM1	CD31	0.159
CD74	CD74	VIM	Vimentin	0.067
CD44	CD44	CD74	CD74	0.112
CD74	CD74	FCER2	CD23	0.141
CD74	CD74	PDCD1	PD-1	0.104
CD74	CD74	IDH1	IDH1	0.042
CD4	CD4	CD74	CD74	0.196
CD3E	CD3e	CD74	CD74	0.159
CD74	CD74	MKI67	Ki67	0
CD74	CD74	FOXP3	FOXP3	0.044
CD74	CD74	MPO	MPO	0.096
CD74	CD74	CXCR5	CXCR5	0.067
ACTA2	SMA	CD74	CD74	0.103
CD74	CD74	FCGR3A	CD16	0.228
CD74	CD74	CR2	CD21	0.104
CD74	CD74	CXCL13	CXCL13	0.115
CD74	CD74	CD8A	CD8	0.154
CD38	CD38	CD74	CD74	0.087
CD74	CD74	SDC1	synd	0
CD74	CD74	PDPN	Podoplanin	0.046
CD74	CD74	SIRPA	SIRP	0.124
CD74	CD74	GFAP	GFAP	0.045
CD274	PD-L1	CD74	CD74	0.099
CD74	CD74	KIT	C-KIT	0.105
CD74	CD74	PTPRC	CD45	0.292
CD74	CD74	PDGFRA	PDGFR	0.054
CD74	CD74	ICOS	ICOS	0.084
CD74	CD74	GZMK	Granzyme K	0.167
CD74	CD74	HLA-A	HLA-A	0.358
CD74	CD74	OLIG2	OLIG2	0
CD74	CD74	TOX	TOX	0.14
CD74	CD74	MS4A1	CD20	0.206
CD74	CD74	HLA-DRA	HLA-DR	0.852
CD74	CD74	GZMB	Granzyme B	0.149
CD47	CD47	CD74	CD74	0.094
CD14	CD14	CD74	CD74	0.246
CD4	CD4	PDPN	Podoplanin	0.044
CD4	CD4	MGMT	MGMT	0
CD4	CD4	SIRPA	SIRP	0.084
CD4	CD4	GFAP	GFAP	0.042
CD274	PD-L1	CD4	CD4	0
CD4	CD4	FCGR3A	CD16	0.182
ACTA2	SMA	CD4	CD4	0.064
CD4	CD4	CR2	CD21	0.043
CD4	CD4	CD8A	CD8	0.131
CD4	CD4	CXCL13	CXCL13	0.072
CD4	CD4	SDC1	synd	0
CD38	CD38	CD4	CD4	0.08
CD4	CD4	TOX	TOX	0
CD4	CD4	OLIG2	OLIG2	0.042
CD4	CD4	HLA-A	HLA-A	0.082
CD14	CD14	CD4	CD4	0.205
CD4	CD4	CD47	CD47	0.042
CD4	CD4	GZMB	Granzyme B	0.165
CD4	CD4	HLA-DRA	HLA-DR	0.151
CD4	CD4	MS4A1	CD20	0.085
CD4	CD4	SYN1	SYNA	0.049
CD4	CD4	KIT	C-KIT	0.1
CD4	CD4	PDGFRA	PDGFR	0.054
CD4	CD4	PTPRC	CD45	0.277
CD4	CD4	GZMK	Granzyme K	0.159
CD4	CD4	ICOS	ICOS	0.255
CD4	CD4	MAP2	MAP2	0
CD4	CD4	FCER2	CD23	0.086
CD4	CD4	CD44	CD44	0.055
CD4	CD4	PDCD1	PD-1	0.086
CD3E	CD3e	CD4	CD4	0.455
CD4	CD4	IDH1	IDH1	0
CD4	CD4	CD68	CD68	0.127
CD4	CD4	VIM	Vimentin	0.062
CD4	CD4	PECAM1	CD31	0.137
CD4	CD4	DLG4	PSD95	0.063
CD4	CD4	FOXP3	FOXP3	0.072
CD4	CD4	MSH6	MSH6	0.046
CD4	CD4	MPO	MPO	0.086
CD4	CD4	CXCR5	CXCR5	0.05
CD4	CD4	MKI67	Ki67	0
GZMB	Granzyme B	MPO	MPO	0.097
FOXP3	FOXP3	GZMB	Granzyme B	0.106
CXCR5	CXCR5	GZMB	Granzyme B	0.073
GZMB	Granzyme B	MKI67	Ki67	0.042
GZMB	Granzyme B	PDCD1	PD-1	0.143
FCER2	CD23	GZMB	Granzyme B	0.086
CD44	CD44	GZMB	Granzyme B	0.087
GZMB	Granzyme B	IDH1	IDH1	0
CD3E	CD3e	GZMB	Granzyme B	0.241
CD68	CD68	GZMB	Granzyme B	0.087
